| FPS | Video        |  PER | Video-only | Audio-only | Audiovisual |
|   8 | CbsNews      | 0.01 |     5.9375 |       6.75 |      4.8125 |
|  15 | CbsNews      | 0.01 |     6.9375 |        6.5 |      5.8125 |
|   8 | Conversation | 0.01 |     2.5625 |       7.25 |       4.375 |
|  15 | Conversation | 0.01 |      3.875 |      6.875 |      5.5625 |
|   8 | gold         | 0.01 |     5.0625 |      7.125 |      5.8125 |
|  15 | gold         | 0.01 |       4.25 |      6.875 |       5.625 |
|   8 | Jobinterview | 0.01 |        5.5 |       7.25 |       5.875 |
|  15 | Jobinterview | 0.01 |     5.8125 |       6.25 |      6.1875 |
|   8 | Lecture      | 0.01 |     4.4375 |       7.75 |      4.9375 |
|  15 | Lecture      | 0.01 |     7.1875 |          8 |      6.4375 |
|   8 | Newspart     | 0.01 |       6.75 |      7.125 |        5.25 |
|  15 | Newspart     | 0.01 |     7.0625 |          7 |       6.625 |
|   8 | CbsNews      | 0.05 |     5.1875 |      4.875 |         4.5 |
|  15 | CbsNews      | 0.05 |          5 |      5.125 |      4.3125 |
|   8 | Conversation | 0.05 |     3.0625 |      7.375 |         4.5 |
|  15 | Conversation | 0.05 |     4.0625 |       6.75 |       5.125 |
|   8 | gold         | 0.05 |       5.25 |        6.5 |      5.3125 |
|  15 | gold         | 0.05 |     5.3125 |        5.5 |         6.5 |
|   8 | Jobinterview | 0.05 |       4.75 |       7.75 |      5.0625 |
|  15 | Jobinterview | 0.05 |     6.3125 |      5.875 |       6.625 |
|   8 | Lecture      | 0.05 |      2.375 |      5.875 |           5 |
|  15 | Lecture      | 0.05 |     7.1875 |      5.125 |       4.875 |
|   8 | Newspart     | 0.05 |     4.6875 |      6.375 |       4.625 |
|  15 | Newspart     | 0.05 |      6.125 |      6.375 |      5.9375 |
|   8 | CbsNews      |  0.1 |     5.0625 |       4.25 |      5.0625 |
|  15 | CbsNews      |  0.1 |     6.0625 |      4.375 |      4.4375 |
|   8 | Conversation |  0.1 |     2.8125 |       7.25 |      3.3125 |
|  15 | Conversation |  0.1 |      3.625 |        6.5 |       4.875 |
|   8 | gold         |  0.1 |       4.25 |      6.875 |      5.6875 |
|  15 | gold         |  0.1 |     4.0625 |          6 |       5.375 |
|   8 | Jobinterview |  0.1 |      3.125 |       6.25 |           5 |
|  15 | Jobinterview |  0.1 |     4.6875 |        5.5 |      4.8125 |
|   8 | Lecture      |  0.1 |     3.3125 |      4.125 |      3.1875 |
|  15 | Lecture      |  0.1 |     6.1875 |      4.875 |      5.3125 |
|   8 | Newspart     |  0.1 |      4.375 |      5.875 |         4.5 |
|  15 | Newspart     |  0.1 |     5.4375 |      4.875 |      5.4375 |
|   8 | CbsNews      | 0.15 |        3.5 |       3.25 |        3.25 |
|  15 | CbsNews      | 0.15 |        4.5 |      4.875 |       5.125 |
|   8 | Conversation | 0.15 |     2.6875 |      4.375 |      4.0625 |
|  15 | Conversation | 0.15 |     2.9375 |      4.375 |      4.4375 |
|   8 | gold         | 0.15 |          4 |      4.375 |      3.9375 |
|  15 | gold         | 0.15 |       4.25 |      4.375 |        5.25 |
|   8 | Jobinterview | 0.15 |     2.6875 |      5.625 |       2.875 |
|  15 | Jobinterview | 0.15 |     3.1875 |      4.875 |       4.375 |
|   8 | Lecture      | 0.15 |      3.875 |       5.25 |      4.3125 |
|  15 | Lecture      | 0.15 |          4 |       4.75 |      4.4375 |
|   8 | Newspart     | 0.15 |      3.375 |      4.875 |      4.5625 |
|  15 | Newspart     | 0.15 |      5.375 |          5 |        3.75 |
|   8 | CbsNews      |  0.2 |     1.9375 |      3.625 |        2.75 |
|  15 | CbsNews      |  0.2 |      3.625 |      4.375 |           4 |
|   8 | Conversation |  0.2 |        2.5 |      4.625 |      3.3125 |
|  15 | Conversation |  0.2 |      2.625 |      5.125 |      4.1875 |
|   8 | gold         |  0.2 |     3.3125 |          4 |      3.5625 |
|  15 | gold         |  0.2 |      3.625 |       3.75 |      3.4375 |
|   8 | Jobinterview |  0.2 |     3.8125 |       5.75 |         2.5 |
|  15 | Jobinterview |  0.2 |     5.0625 |       4.75 |        4.25 |
|   8 | Lecture      |  0.2 |      2.125 |          4 |        3.25 |
|  15 | Lecture      |  0.2 |     3.1875 |      4.375 |       3.625 |
|   8 | Newspart     |  0.2 |       1.75 |        3.5 |           3 |
|  15 | Newspart     |  0.2 |     2.0625 |      3.125 |       2.625 |
